topic	rank	word	score
23	4	meter	0.11468683183193207
23	5	bills	0.0760243833065033
23	6	electricity	0.037361931055784225
23	7	concerned	0.0330854095518589
23	8	high	0.029668958857655525
23	9	customer	0.0006570128025487065
23	10	billing	0.0004219452093821019
24	1	aed	0.03115963563323021
24	2	receiving	0.029576510190963745
24	3	which	0.026055797934532166
24	4	other	0.02258901856839657
24	5	flats	0.02258901856839657
24	6	numbers	0.02258901856839657
24	7	closed	0.02258901856839657
24	8	compare	0.02258901856839657
24	9	submit	0.02258901856839657
24	10	renovations	0.02258901856839657
25	1	invoice	0.16790148615837097
25	2	past	0.15280590951442719
25	3	months	0.13378772139549255
25	4	two	0.13378772139549255
25	5	amounts	0.10798165202140808
25	6	unhappy	0.07697221636772156
25	7	clarification	0.040053170174360275
25	8	seeks	0.034486062824726105
25	9	high	0.02617836557328701
25	10	customer	0.0005797143676318228
26	1	dissatisfied	0.002882119035348296
26	2	charges	0.0028819816652685404
26	3	high	0.0028818442951887846
26	4	concerned	0.0028818442951887846
26	5	electricity	0.0028818442951887846
26	6	seeks	0.0028818442951887846
26	7	bill	0.0028818442951887846
26	8	clarification	0.0028818442951887846
26	9	consumption	0.0028818442951887846
26	10	billing	0.0028818442951887846
27	1	more	0.18461671471595764
27	2	used	0.18461671471595764
27	3	charged	0.16801831126213074
27	4	water	0.08835916966199875
27	5	unhappy	0.08463508635759354
27	6	resolution	0.0765824168920517
27	7	seeks	0.03791928291320801
27	8	electricity	0.036248162388801575
27	9	customer	0.000637427088804543
27	10	billing	0.000409366941312328
28	1	claiming	0.15364545583724976
28	2	accuracy	0.15364545583724976
28	3	questioning	0.13983158767223358
28	4	minimal	0.13003049790859222
28	5	usage	0.08987470716238022
28	6	unhappy	0.07043672353029251
28	7	billing	0.04398103430867195
28	8	consumption	0.03834209591150284
28	9	charges	0.03504250571131706
28	10	electricity	0.03016717918217182
29	1	number	0.20615039765834808
29	2	provide	0.11904960870742798
29	3	follow	0.11904960870742798
29	4	mobile	0.11904960870742798
29	5	requests	0.09391210228204727
29	6	account	0.0586649514734745
29	7	significant	0.055609602481126785
29	8	increase	0.04047605022788048
29	9	verification	0.03705459088087082
29	10	consumption	0.025750882923603058
30	1	confusion	0.28041693568229675
30	2	billing	0.08819914609193802
30	3	clarification	0.07350228726863861
30	4	charges	0.07027392089366913
30	5	seeks	0.06328600645065308
30	6	electricity	0.060496967285871506
30	7	concerned	0.05357235297560692
30	8	high	0.04804040119051933
30	9	bill	0.03129313513636589
30	10	consumption	0.0006832196959294379
31	1	700	0.16881166398525238
31	2	200	0.16881166398525238
31	3	jumped	0.16881166398525238
31	4	dubai	0.1331668347120285
31	5	studio	0.1331668347120285
31	6	aed	0.11659291386604309
31	7	charges	0.0003244687686674297
31	8	clarification	0.00032445331453345716
31	9	consumption	0.00032445331453345716
31	10	billing	0.00032445331453345716
32	1	customer	0.0028818442951887846
32	2	bill	0.0028818442951887846
32	3	high	0.0028818442951887846
32	4	concerned	0.0028818442951887846
32	5	electricity	0.0028818442951887846
32	6	seeks	0.0028818442951887846
32	7	charges	0.0028818442951887846
32	8	clarification	0.0028818442951887846
32	9	consumption	0.0028818442951887846
32	10	billing	0.0028818442951887846
33	1	suspect	0.18503309786319733
33	2	past	0.14596307277679443
33	3	two	0.12779654562473297
33	4	months	0.12779654562473297
33	5	seek	0.12779654562473297
33	6	account	0.09118009358644485
33	7	unhappy	0.0735253095626831
33	8	clarification	0.0003556306182872504
33	9	consumption	0.0003556306182872504
33	10	billing	0.0003556306182872504
34	1	meter	0.12132442742586136
34	2	associated	0.11633507162332535
34	3	reading	0.10083670914173126
34	4	inspection	0.10083670914173126
34	5	informed	0.10083670914173126
34	6	request	0.08034897595643997
34	7	sudden	0.08034897595643997
34	8	suspects	0.06720641255378723
34	9	issue	0.047221168875694275
34	10	increase	0.03955312445759773
35	1	customer	0.0028818317223340273
35	2	bill	0.0028818317223340273
35	3	high	0.0028818317223340273
35	4	concerned	0.0028818317223340273
35	5	electricity	0.0028818317223340273
35	6	seeks	0.0028818317223340273
35	7	charges	0.0028818317223340273
35	8	clarification	0.0028818317223340273
35	9	consumption	0.0028818317223340273
35	10	billing	0.0028818317223340273
36	1	bedroom	0.2060467153787613
36	2	house	0.17859680950641632
36	3	unusually	0.1423099935054779
36	4	two	0.1423099935054779
36	5	clarification	0.042604558169841766
36	6	charges	0.040733255445957184
36	7	seeks	0.03668282553553581
36	8	concerned	0.031052451580762863
36	9	high	0.027845928445458412
36	10	bill	0.018138624727725983
37	1	customer	0.0028818442951887846
37	2	bill	0.0028818442951887846
37	3	high	0.0028818442951887846
37	4	concerned	0.0028818442951887846
37	5	electricity	0.0028818442951887846
37	6	seeks	0.0028818442951887846
37	7	charges	0.0028818442951887846
37	8	clarification	0.0028818442951887846
37	9	consumption	0.0028818442951887846
37	10	billing	0.0028818442951887846
38	1	error	0.08412263542413712
38	2	direct	0.053384929895401
38	3	confirming	0.053384929895401
38	4	resulting	0.053384929895401
38	5	unresolved	0.05251116678118706
38	6	usual	0.046272896230220795
38	7	reading	0.046272896230220795
38	8	frustration	0.046272896230220795
38	9	technician	0.042112622410058975
38	10	causing	0.042112622410058975
39	1	broadband	0.0754038393497467
39	2	emily	0.0754038393497467
39	3	half	0.0754038393497467
39	4	month	0.06535840779542923
39	5	facing	0.06535840779542923
39	6	activation	0.05948220565915108
39	7	potential	0.05531297251582146
39	8	errors	0.05531297251582146
39	9	away	0.05531297251582146
39	10	expressing	0.05531297251582146
40	1	did	0.05358722060918808
40	2	receive	0.05358722060918808
40	3	any	0.05358722060918808
40	4	prior	0.05358722060918808
40	5	property	0.0464482344686985
40	6	notification	0.0464482344686985
40	7	email	0.04227219521999359
40	8	minimal	0.03930924832820892
40	9	readings	0.03701100870966911
40	10	express	0.03701100870966911
41	1	clear	0.15491852164268494
41	2	notifications	0.14099019765853882
41	3	communication	0.131107896566391
41	4	lack	0.10325127094984055
41	5	regarding	0.09635793417692184
41	6	unexpectedly	0.08807367086410522
41	7	bills	0.061893053352832794
41	8	frustrated	0.04796473681926727
41	9	charges	0.03533285856246948
41	10	high	0.02415412664413452
42	1	customer	0.002881842665374279
42	2	bill	0.002881842665374279
42	3	high	0.002881842665374279
42	4	concerned	0.002881842665374279
42	5	electricity	0.002881842665374279
42	6	seeks	0.002881842665374279
42	7	charges	0.002881842665374279
42	8	clarification	0.002881842665374279
42	9	consumption	0.002881842665374279
42	10	billing	0.002881842665374279
43	1	customer	0.0028818442951887846
43	2	bill	0.0028818442951887846
43	3	high	0.0028818442951887846
43	4	concerned	0.0028818442951887846
43	5	electricity	0.0028818442951887846
43	6	seeks	0.0028818442951887846
43	7	charges	0.0028818442951887846
43	8	clarification	0.0028818442951887846
43	9	consumption	0.0028818442951887846
43	10	billing	0.0028818442951887846
44	1	customer	0.0028818442951887846
44	2	bill	0.0028818442951887846
44	3	high	0.0028818442951887846
44	4	concerned	0.0028818442951887846
44	5	electricity	0.0028818442951887846
44	6	seeks	0.0028818442951887846
44	7	charges	0.0028818442951887846
44	8	clarification	0.0028818442951887846
44	9	consumption	0.0028818442951887846
44	10	billing	0.0028818442951887846
